song,artist,date,loveSong
No Stylist,French Montana Featuring Drake,5/10/2018,
Rich,Maren Morris,5/10/2018,
Backin' It Up,Pardison Fontaine Featuring Cardi B,5/10/2018,
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,5/10/2018,
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",12/10/2018,
"If I'm Lyin, I'm Flyin",Kodak Black,12/10/2018,
Shallow,Lady Gaga & Bradley Cooper,12/10/2018,
Uproar,Lil Wayne,12/10/2018,
Dedicate,Lil Wayne,12/10/2018,
Can't Be Broken,Lil Wayne,12/10/2018,
Open Letter,Lil Wayne,12/10/2018,
Problems,Lil Wayne,12/10/2018,
Hittas,Lil Wayne,12/10/2018,
Open Safe,Lil Wayne,12/10/2018,
Took His Time,Lil Wayne,12/10/2018,
Mess,Lil Wayne,12/10/2018,
Let It All Work Out,Lil Wayne,12/10/2018,
Used 2,Lil Wayne,12/10/2018,
Demon,Lil Wayne,12/10/2018,
Perfect Strangers,Lil Wayne,12/10/2018,
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,12/10/2018,
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,12/10/2018,
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,12/10/2018,
Dope New Gospel,Lil Wayne Featuring Nivea,12/10/2018,
Famous,Lil Wayne Featuring Reginae Carter,12/10/2018,
Dope N****z,Lil Wayne Featuring Snoop Dogg,12/10/2018,
What About Me,Lil Wayne Featuring Sosamann,12/10/2018,
Let It Fly,Lil Wayne Featuring Travis Scott,12/10/2018,
Don't Cry,Lil Wayne Featuring XXXTENTACION,12/10/2018,
STOOPID,6ix9ine Featuring Bobby Shmurda,19/10/2018,
Maybe It's Time,Bradley Cooper,19/10/2018,
Without Me,Halsey,19/10/2018,
I'll Never Love Again,Lady Gaga,19/10/2018,
Always Remember Us This Way,Lady Gaga,19/10/2018,
Is That Alright?,Lady Gaga,19/10/2018,
Close Friends,Lil Baby,19/10/2018,
Deep End,Lil Baby,19/10/2018,
Business Is Business,Lil Baby & Gunna,19/10/2018,
Belly,Lil Baby & Gunna,19/10/2018,
I Am,Lil Baby & Gunna,19/10/2018,
Never Recover,Lil Baby & Gunna Featuring Drake,19/10/2018,
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,19/10/2018,
My Blood,twenty one pilots,19/10/2018,
MIA,Bad Bunny Featuring Drake,26/10/2018,
ZEZE,Kodak Black Featuring Travis Scott & Offset,26/10/2018,
Biggest Alley Oop,Quavo,26/10/2018,
Huncho Dreams,Quavo,26/10/2018,
Pass Out,Quavo Featuring 21 Savage,26/10/2018,
Flip The Switch,Quavo Featuring Drake,26/10/2018,
Lose It,Quavo Featuring Lil Baby,26/10/2018,
Rerun,Quavo Featuring Travis Scott,26/10/2018,
When The Party's Over,Billie Eilish,2/11/2018,0
Money,Cardi B,2/11/2018,
Burning Man,Dierks Bentley Featuring Brothers Osborne,2/11/2018,
Kiss And Make Up,Dua Lipa & BLACKPINK,2/11/2018,
Fine China,Future & Juice WRLD,2/11/2018,
Astronauts,Future & Juice WRLD,2/11/2018,
Jet Lag,Future & Juice WRLD Featuring Young Scooter,2/11/2018,
Make It Back,Juice WRLD,2/11/2018,
Vertigo,Khalid,2/11/2018,
Saturday Nights,Khalid & Kane Brown,2/11/2018,
Suncity,Khalid Featuring Empress Of,2/11/2018,
Yacht Club,Lil Yachty Featuring Juice WRLD,2/11/2018,
Get Dripped,Lil Yachty Featuring Playboi Carti,2/11/2018,
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2/11/2018,
Be Alright,Dean Lewis,9/11/2018,
Kamikaze,Lil Mosey,9/11/2018,
A Million Dreams,P!nk,9/11/2018,
Waste It On Me,Steve Aoki Featuring BTS,9/11/2018,
Last Memory,TakeOff,9/11/2018,
Talk To Me,Tory Lanez & Rich The Kid,9/11/2018,
Topanga,Trippie Redd,9/11/2018,
Dip,Tyga & Nicki Minaj,9/11/2018,
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,9/11/2018,
Ella Quiere Beber,Anuel AA & Romeo Santos,16/11/2018,
"Thank U, Next",Ariana Grande,16/11/2018,1
Consequences,Camila Cabello,16/11/2018,
Don't Come Out The House,Metro Boomin Featuring 21 Savage,16/11/2018,
10 Freaky Girls,Metro Boomin Featuring 21 Savage,16/11/2018,
Space Cadet,Metro Boomin Featuring Gunna,16/11/2018,
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,16/11/2018,
Overdue,Metro Boomin Featuring Travis Scott,16/11/2018,
Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,16/11/2018,
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",16/11/2018,
Bohemian Rhapsody,Queen,16/11/2018,0
Casper,TakeOff,16/11/2018,
Millionaire,Chris Stapleton,23/11/2018,
Good Girl,Dustin Lynch,23/11/2018,
Bad Liar,Imagine Dragons,23/11/2018,
Armed And Dangerous,Juice WRLD,23/11/2018,
Last Shot,Kip Moore,23/11/2018,
Sixteen,Thomas Rhett,23/11/2018,
Love Scars 3,Trippie Redd,23/11/2018,
Toxic Waste,Trippie Redd,23/11/2018,
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,23/11/2018,
Negative Energy,Trippie Redd Featuring Kodie Shane,23/11/2018,
BAD!,XXXTENTACION,23/11/2018,
Burn The House Down,AJR,30/11/2018,
Ocean Eyes,Billie Eilish,30/11/2018,
Twerk,City Girls Featuring Cardi B,30/11/2018,
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,30/11/2018,
Girl Like You,Jason Aldean,30/11/2018,
Take One,Kodak Black,30/11/2018,
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,7/12/2018,
TIC TOC,6ix9ine Featuring Lil Baby,7/12/2018,
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,7/12/2018,
KIKA,6ix9ine Featuring Tory Lanez,7/12/2018,
Come Out And Play,Billie Eilish,7/12/2018,
You,Jacquees,7/12/2018,
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,14/12/2018,
Rudolph The Red-Nosed Reindeer,Gene Autry,14/12/2018,
Calling My Spirit,Kodak Black,14/12/2018,
Pure Cocaine,Lil Baby,14/12/2018,
Crush A Lot,Lil Baby,14/12/2018,
Global,Lil Baby,14/12/2018,
Word On The Street,Lil Baby,14/12/2018,
Ready,Lil Baby Featuring Gunna,14/12/2018,
Time,Lil Baby Featuring Meek Mill,14/12/2018,
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,14/12/2018,
Intro,Meek Mill,14/12/2018,
Respect The Game,Meek Mill,14/12/2018,
Trauma,Meek Mill,14/12/2018,
Championships,Meek Mill,14/12/2018,
Almost Slipped,Meek Mill,14/12/2018,
Oodles O' Noodles Babies,Meek Mill,14/12/2018,
Pay You Back,Meek Mill Featuring 21 Savage,14/12/2018,
On Me,Meek Mill Featuring Cardi B,14/12/2018,
Going Bad,Meek Mill Featuring Drake,14/12/2018,
24-Jul,Meek Mill Featuring Ella Mai,14/12/2018,
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,14/12/2018,
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",14/12/2018,
Tic Tac Toe,Meek Mill Featuring Kodak Black,14/12/2018,
What's Free,Meek Mill Featuring Rick Ross & JAY-Z,14/12/2018,
Good Form,Nicki Minaj Featuring Lil Wayne,14/12/2018,
Foot Fungus,Ski Mask The Slump God,14/12/2018,
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,14/12/2018,
Look Back At It,A Boogie Wit da Hoodie,21/12/2018,
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,21/12/2018,
This Is It,Scotty McCreery,21/12/2018,
Sleigh Ride,The Ronettes,21/12/2018,
whoa (mind in awe),XXXTENTACION,21/12/2018,
Guardian Angel,XXXTENTACION,21/12/2018,
I Don't Let Go,XXXTENTACION,21/12/2018,
Train Food,XXXTENTACION,21/12/2018,
What Are You So Afraid Of,XXXTENTACION,21/12/2018,
Staring At The Sky,XXXTENTACION,21/12/2018,
Difference (Interlude),XXXTENTACION,21/12/2018,
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,21/12/2018,
Imagine,Ariana Grande,28/12/2018,
Sweet But Psycho,Ava Max,28/12/2018,
White Christmas,Bing Crosby,28/12/2018,
Envy Me,Calboy,28/12/2018,
Christmas (Baby Please Come Home),Darlene Love,28/12/2018,
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,28/12/2018,
Cozy Little Christmas,Katy Perry,28/12/2018,
Testimony,Kodak Black,28/12/2018,
MoshPit,Kodak Black Featuring Juice WRLD,28/12/2018,
Gnarly,Kodak Black Featuring Lil Pump,28/12/2018,
The Christmas Song,Lauren Daigle,28/12/2018,
Wonderful Christmastime,Paul McCartney,28/12/2018,
(There's No Place Like) Home For The Holidays,Perry Como,28/12/2018,
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,28/12/2018,
A Lot,21 Savage,4/1/2019,
Can't Leave Without It,21 Savage,4/1/2019,
All My Friends,21 Savage,4/1/2019,
Break Da Law,21 Savage,4/1/2019,0
Monster,21 Savage,4/1/2019,0
1.5,21 Savage,4/1/2019,
Out For The Night,21 Savage,4/1/2019,
Gun Smoke,21 Savage,4/1/2019,0
ASMR,21 Savage,4/1/2019,
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,4/1/2019,
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,4/1/2019,
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,4/1/2019,
Run Rudolph Run,Chuck Berry,4/1/2019,
Blue Christmas,Elvis Presley,4/1/2019,
Jingle Bells,Frank Sinatra,4/1/2019,
Wow.,Post Malone,4/1/2019,
Solo de Mi,Bad Bunny,11/1/2019,
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,11/1/2019,
idontwannabeyouanymore,Billie Eilish,11/1/2019,
Here Tonight,Brett Young,11/1/2019,
Love Wins,Carrie Underwood,11/1/2019,
Down To The Honkytonk,Jake Owen,11/1/2019,
Take It From Me,Jordan Davis,11/1/2019,
Body,Loud Luxury Featuring Brando,11/1/2019,
Love Someone,Lukas Graham,11/1/2019,
What Makes You Country,Luke Bryan,11/1/2019,
Burn Out,Midland,11/1/2019,
Make It Sweet,Old Dominion,11/1/2019,
Baby Shark,Pinkfong,11/1/2019,
Ruin My Life,Zara Larsson,11/1/2019,
Undecided,Chris Brown,18/1/2019,
Crushed Up,Future,18/1/2019,
Butterfly Doors,Lil Pump,18/1/2019,
Valuable Pain,YoungBoy Never Broke Again,18/1/2019,
Let Me Down Slowly,Alec Benjamin + Alessia Cara,25/1/2019,
Thotiana,Blueface,25/1/2019,
Jumpin On A Jet,Future,25/1/2019,
Lost In The Fire,Gesaffelstein & The Weeknd,25/1/2019,
Nights Like This,Kehlani Featuring Ty Dolla $ign,25/1/2019,
Splashin,Rich The Kid,25/1/2019,
Dancing With A Stranger,Sam Smith & Normani,25/1/2019,
Secreto,Anuel AA & Karol G,1/2/2019,
7 Rings,Ariana Grande,1/2/2019,0
On My Way To You,Cody Johnson,1/2/2019,
Never Stop,Future,1/2/2019,
Temptation,Future,1/2/2019,
Rocket Ship,Future,1/2/2019,
F&N,Future,1/2/2019,
Call The Coroner,Future,1/2/2019,
First Off,Future Featuring Travis Scott,1/2/2019,
Face My Fears,Hikaru Utada & Skrillex,1/2/2019,
Middle Child,J. Cole,1/2/2019,
Keanu Reeves,Logic,1/2/2019,
GIRL,Maren Morris,1/2/2019,
Pure Water,Mustard & Migos,1/2/2019,
Murder On My Mind,YNW Melly,1/2/2019,
Mixed Personalities,YNW Melly Featuring Kanye West,1/2/2019,
Bury A Friend,Billie Eilish,8/2/2019,0
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,8/2/2019,
Shot Clock,Ella Mai,8/2/2019,
Night Shift,Jon Pardi,8/2/2019,
I'm So Tired...,Lauv & Troye Sivan,8/2/2019,
Sauce!,XXXTENTACION,8/2/2019,
Put A Date On It,Yo Gotti Featuring Lil Baby,8/2/2019,
One Call,Gunna,15/2/2019,
Miss Me More,Kelsea Ballerini,15/2/2019,
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,22/2/2019,0
Needy,Ariana Grande,22/2/2019,
NASA,Ariana Grande,22/2/2019,
Bloodline,Ariana Grande,22/2/2019,
Ghostin,Ariana Grande,22/2/2019,
Fake Smile,Ariana Grande,22/2/2019,
Bad Idea,Ariana Grande,22/2/2019,
In My Head,Ariana Grande,22/2/2019,
Make Up,Ariana Grande,22/2/2019,
Rainbow,Kacey Musgraves,22/2/2019,
Talk,Khalid,22/2/2019,
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,22/2/2019,
Please Me,Cardi B & Bruno Mars,1/3/2019,
Eyes On You,Chase Rice,1/3/2019,
Talk You Out Of It,Florida Georgia Line,1/3/2019,
Robbery,Juice WRLD,1/3/2019,
One That Got Away,Michael Ray,1/3/2019,
Red Room,Offset,1/3/2019,
There Was This Girl,Riley Green,1/3/2019,
Worth It,YK Osiris,1/3/2019,
365,Zedd & Katy Perry,1/3/2019,
Outstanding,Gunna,8/3/2019,
Wit It,Gunna,8/3/2019,
Speed It Up,Gunna,8/3/2019,
Same Yung N***a,Gunna Featuring Playboi Carti,8/3/2019,
3 Headed Snake,Gunna Featuring Young Thug,8/3/2019,
I Guess I Just Feel Like,John Mayer,8/3/2019,0
Good As You,Kane Brown,8/3/2019,
Be Like Me,Lil Pump Featuring Lil Wayne,8/3/2019,
Lick,Offset,8/3/2019,
How Did I Get Here,Offset Featuring  J. Cole,8/3/2019,
Clout,Offset Featuring Cardi B,8/3/2019,
Legacy,Offset Featuring Travis Scott & 21 Savage,8/3/2019,
Walk Me Home,P!nk,8/3/2019,
Faucet Failure,Ski Mask The Slump God,8/3/2019,
Girls Need Love,Summer Walker X Drake,8/3/2019,
Rule The World,2 Chainz Featuring Ariana Grande,15/3/2019,
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,15/3/2019,
Whip,2 Chainz Featuring Travis Scott,15/3/2019,
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",15/3/2019,
Wish You Were Gay,Billie Eilish,15/3/2019,1
Act Up,City Girls,15/3/2019,
Sucker,Jonas Brothers,15/3/2019,
Hear Me Calling,Juice WRLD,15/3/2019,
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15/3/2019,
I,Lil Skies,15/3/2019,
Whiskey Glasses,Morgan Wallen,15/3/2019,
Look What God Gave Her,Thomas Rhett,15/3/2019,
Undrunk,FLETCHER,22/3/2019,
Empty,Juice WRLD,22/3/2019,
Fast,Juice WRLD,22/3/2019,
Maze,Juice WRLD,22/3/2019,
Flaws And Sins,Juice WRLD,22/3/2019,
My Bad,Khalid,22/3/2019,
Rumor,Lee Brice,22/3/2019,
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,22/3/2019,
Here With Me,Marshmello Featuring CHVRCHES,22/3/2019,
Calma,Pedro Capo X Farruko,22/3/2019,
Sally Walker,Iggy Azalea,29/3/2019,
Slow Dancing In The Dark,Joji,29/3/2019,1
Numb Numb Juice,ScHoolboy Q,29/3/2019,
Last Hurrah,Bebe Rexha,5/4/2019,
Confessions Of A Dangerous Mind,Logic,5/4/2019,
Don't Call Me Up,Mabel,5/4/2019,
Tap,NAV Featuring Meek Mill,5/4/2019,
Price On My Head,NAV Featuring The Weeknd,5/4/2019,
Pop Out,Polo G Featuring Lil Tjay,5/4/2019,
Monopoly,Ariana Grande & Victoria Monet,12/4/2019,
Bad Guy,Billie Eilish,12/4/2019,0
Xanny,Billie Eilish,12/4/2019,
My Strange Addiction,Billie Eilish,12/4/2019,
All The Good Girls Go To Hell,Billie Eilish,12/4/2019,
I Love You,Billie Eilish,12/4/2019,
Ilomilo,Billie Eilish,12/4/2019,
Listen Before I Go,Billie Eilish,12/4/2019,
8,Billie Eilish,12/4/2019,
God's Country,Blake Shelton,12/4/2019,
Suge,DaBaby,12/4/2019,
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,12/4/2019,
Dedication,Nipsey Hussle Featuring Kendrick Lamar,12/4/2019,
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,12/4/2019,
Last Time That I Checc'd,Nipsey Hussle Featuring YG,12/4/2019,
Inmortal,Aventura,19/4/2019,
Cool,Jonas Brothers,19/4/2019,
Bad Luck,Khalid,19/4/2019,
Right Back,Khalid Featuring A Boogie Wit da Hoodie,19/4/2019,
Outta My Head,Khalid With John Mayer,19/4/2019,
Don't Pretend,Khalid x SAFE,19/4/2019,
Big Ole Freak,Megan Thee Stallion,19/4/2019,
Victory Lap,Nipsey Hussle Featuring Stacy Barthe,19/4/2019,
SOS,Avicii Featuring Aloe Blacc,26/4/2019,
Love Ain't,Eli Young Band,26/4/2019,
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",26/4/2019,
Sanguine Paradise,Lil Uzi Vert,26/4/2019,
That's A Rack,Lil Uzi Vert,26/4/2019,
"Hey Look Ma, I Made It",Panic! At The Disco,26/4/2019,
Before I Let Go,Beyonce,3/5/2019,
Love Someone,Brett Eldredge,3/5/2019,
Slide,French Montana Featuring Blueface & Lil Tjay,3/5/2019,
Earth,Lil Dicky,3/5/2019,
Shotta Flow,NLE Choppa,3/5/2019,
ME!,Taylor Swift Featuring Brendon Urie,3/5/2019,
Knockin' Boots,Luke Bryan,10/5/2019,
Light It Up,"Marshmello, Tyga & Chris Brown",10/5/2019,
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,10/5/2019,
Love Me Anyway,P!nk Featuring Chris Stapleton,10/5/2019,
CHopstix,ScHoolboy Q + Travis Scott,10/5/2019,
Floating,ScHoolboy Q Featuring 21 Savage,10/5/2019,
Power Is Power,"SZA, The Weeknd & Travis Scott",10/5/2019,
Stop Snitching,YG,10/5/2019,
Paradise,Bazzi,17/5/2019,
All To Myself,Dan + Shay,17/5/2019,
Truth Hurts,Lizzo,17/5/2019,
Homicide,Logic Featuring Eminem,17/5/2019,
Beer Never Broke My Heart,Luke Combs,17/5/2019,
Middle Child,PnB Rock & XXXTENTACION,17/5/2019,
Die Young,Roddy Ricch,17/5/2019,
If I Can't Have You,Shawn Mendes,17/5/2019,
Go Loko,"YG, Tyga & Jon Z",17/5/2019,
I Don't Care,Ed Sheeran & Justin Bieber,24/5/2019,
Triggered,Jhene Aiko,24/5/2019,
Someone You Loved,Lewis Capaldi,24/5/2019,1
Juice,Lizzo,24/5/2019,
Soltera,"Lunay, Daddy Yankee & Bad Bunny",24/5/2019,
Te Robare,Nicky Jam X Ozuna,24/5/2019,
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,31/5/2019,
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",31/5/2019,
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,31/5/2019,
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",31/5/2019,
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,31/5/2019,
Just Us,DJ Khaled Featuring SZA,31/5/2019,
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,31/5/2019,
Nightmare,Halsey,31/5/2019,
What If I Never Get Over You,Lady Antebellum,31/5/2019,
EARFQUAKE,"Tyler, The Creator",31/5/2019,
I Think,"Tyler, The Creator",31/5/2019,
Running Out Of Time,"Tyler, The Creator",31/5/2019,
Igor's Theme,"Tyler, The Creator",31/5/2019,
New Magic Wand,"Tyler, The Creator",31/5/2019,
A Boy Is A Gun,"Tyler, The Creator",31/5/2019,
What's Good,"Tyler, The Creator",31/5/2019,
Puppet,"Tyler, The Creator",31/5/2019,
Easier,5 Seconds Of Summer,7/6/2019,
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,7/6/2019,
Some Of It,Eric Church,7/6/2019,
Rearview Town,Jason Aldean,7/6/2019,
Isis,Joyner Lucas Featuring Logic,7/6/2019,
HP,Maluma,7/6/2019,
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",7/6/2019,
The London,"Young Thug, J. Cole & Travis Scott",7/6/2019,
La La Land,Bryce Vine Featuring YG,14/6/2019,
Press,Cardi B,14/6/2019,
Raised On Country,Chris Young,14/6/2019,
Shut Up About Politics,John Rich Featuring The Five,14/6/2019,
Never Really Over,Katy Perry,14/6/2019,
Ran$om,Lil Tecca,14/6/2019,
Mother's Daughter,Miley Cyrus,14/6/2019,
The Search,NF,14/6/2019,
Trampoline,SHAED,14/6/2019,
Call You Mine,The Chainsmokers & Bebe Rexha,14/6/2019,
Under Enemy Arms,Trippie Redd,14/6/2019,
Heaven,Avicii,21/6/2019,
Callaita,Bad Bunny & Tainy,21/6/2019,
The Git Up,Blanco Brown,21/6/2019,
No Guidance,Chris Brown Featuring Drake,21/6/2019,
Please Tell Me,Future,21/6/2019,
XanaX Damage,Future,21/6/2019,
Government Official,Future,21/6/2019,
Only Human,Jonas Brothers,21/6/2019,
Even Though I'm Leaving,Luke Combs,21/6/2019,
Amor Genuino,Ozuna,21/6/2019,
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",21/6/2019,
It's You,Ali Gatie,28/6/2019,
Omerta,Drake,28/6/2019,
Money In The Grave,Drake Featuring Rick Ross,28/6/2019,
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",28/6/2019,
Sanctuary,Joji,28/6/2019,1
The Ones That Didn't Make It Back Home,Justin Moore,28/6/2019,
Rescue Me,Marshmello Featuring A Day To Remember,28/6/2019,
You Need To Calm Down,Taylor Swift,28/6/2019,
Out The Mud,Lil Baby Featuring Future,5/7/2019,
Panini,Lil Nas X,5/7/2019,
Rodeo,Lil Nas X & Cardi B Or Nas,5/7/2019,
One Thing Right,Marshmello & Kane Brown,5/7/2019,
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,5/7/2019,
Cash Shit,Megan Thee Stallion Featuring DaBaby,5/7/2019,
MEGATRON,Nicki Minaj,5/7/2019,
Senorita,Shawn Mendes & Camila Cabello,5/7/2019,
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,12/7/2019,
Beautiful People,Ed Sheeran Featuring Khalid,12/7/2019,
Que Pretendes,J Balvin & Bad Bunny,12/7/2019,
Higher Love,Kygo X Whitney Houston,12/7/2019,
When I Grow Up,NF,12/7/2019,
My Type,Saweetie,12/7/2019,
Lalala,Y2K & bbno$,12/7/2019,
I Don't Know About You,Chris Lane,19/7/2019,
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",19/7/2019,
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",19/7/2019,
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,19/7/2019,
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",19/7/2019,
Goodbyes,Post Malone Featuring Young Thug,19/7/2019,
Spirit,Beyonce,26/7/2019,
Southbound,Carrie Underwood,26/7/2019,
Antisocial,Ed Sheeran & Travis Scott,26/7/2019,
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,26/7/2019,
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,26/7/2019,
Best Part Of Me,Ed Sheeran Featuring YEBBA,26/7/2019,
Like A Rodeo,Kane Brown,26/7/2019,
Tip Of My Tongue,Kenny Chesney,26/7/2019,
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",26/7/2019,
Time,NF,26/7/2019,
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2/8/2019,
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",2/8/2019,
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",2/8/2019,
Hate Me,Ellie Goulding & Juice WRLD,2/8/2019,
Baby,Lil Baby & DaBaby,2/8/2019,
Ballin',Mustard & Roddy Ricch,2/8/2019,
How Do You Sleep?,Sam Smith,2/8/2019,
The Archer,Taylor Swift,2/8/2019,
Single Again,Big Sean,9/8/2019,
Daddy,Blueface & Rich The Kid,9/8/2019,
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,9/8/2019,
All Day Long,Chance The Rapper Featuring John Legend,9/8/2019,
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,9/8/2019,
Living,Dierks Bentley,9/8/2019,
Leave Me Alone,NF,9/8/2019,
Gold Roses,Rick Ross Featuring Drake,9/8/2019,
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,9/8/2019,
Uno,Ambjaay,16/8/2019,
Boyfriend,Ariana Grande & Social House,16/8/2019,
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,16/8/2019,
Love You Too Late,Cole Swindell,16/8/2019,
Trust Issues,Drake,16/8/2019,
How About Now,Drake,16/8/2019,
The Motion,Drake,16/8/2019,
Dreams Money Can Buy,Drake,16/8/2019,
Club Paradise,Drake,16/8/2019,
Days In The East,Drake,16/8/2019,
We Were,Keith Urban,16/8/2019,
Prayed For You,Matt Stell,16/8/2019,
Queen Of Mean,Sarah Jeffery,16/8/2019,
Fear Inoculum,Tool,16/8/2019,
Baby Sitter,DaBaby Featuring Offset,23/8/2019,
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",23/8/2019,
Small Talk,Katy Perry,23/8/2019,
F.N,Lil Tjay,23/8/2019,
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",23/8/2019,
Buy My Own Drinks,Runaway June,23/8/2019,
Snake Skin,Trippie Redd,23/8/2019,
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,23/8/2019,
On Chill,Wale Featuring Jeremih,23/8/2019,
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,30/8/2019,
Juicy,Doja Cat & Tyga,30/8/2019,
Did It Again,Lil Tecca,30/8/2019,
Slide Away,Miley Cyrus,30/8/2019,
Motivation,Normani,30/8/2019,
Every Little Thing,Russell Dickerson,30/8/2019,
Won't Be Late,Swae Lee Featuring Drake,30/8/2019,
Lover,Taylor Swift,30/8/2019,1
Just How It Is,Young Thug,30/8/2019,
Light It Up,Young Thug,30/8/2019,
Lil Baby,Young Thug,30/8/2019,
Sup Mate,Young Thug Featuring Future,30/8/2019,
Hot,Young Thug Featuring Gunna,30/8/2019,
Surf,Young Thug Featuring Gunna,30/8/2019,
Bad Bad Bad,Young Thug Featuring Lil Baby,30/8/2019,
What's The Move,Young Thug Featuring Lil Uzi Vert,30/8/2019,
Ecstasy,Young Thug Featuring Machine Gun Kelly,30/8/2019,
Good As Hell,Lizzo,6/9/2019,
One Man Band,Old Dominion,6/9/2019,
Playing Games,Summer Walker,6/9/2019,
The Man,Taylor Swift,6/9/2019,
I Forgot That You Existed,Taylor Swift,6/9/2019,
Cruel Summer,Taylor Swift,6/9/2019,
Paper Rings,Taylor Swift,6/9/2019,
Miss Americana & The Heartbreak Prince,Taylor Swift,6/9/2019,
I Think He Knows,Taylor Swift,6/9/2019,
Cornelia Street,Taylor Swift,6/9/2019,
London Boy,Taylor Swift,6/9/2019,
Death By A Thousand Cuts,Taylor Swift,6/9/2019,
Afterglow,Taylor Swift,6/9/2019,
