song,artist,date
Bad Liar,Imagine Dragons,2018-11-23
Negative Energy,Trippie Redd Featuring Kodie Shane,2018-11-23
Sixteen,Thomas Rhett,2018-11-23
Good Girl,Dustin Lynch,2018-11-23
Last Shot,Kip Moore,2018-11-23
Millionaire,Chris Stapleton,2018-11-23
Toxic Waste,Trippie Redd,2018-11-23
Take One,Kodak Black,2018-11-30
Twerk,City Girls Featuring Cardi B,2018-11-30
Ocean Eyes,Billie Eilish,2018-11-30
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2018-11-30
Girl Like You,Jason Aldean,2018-11-30
Burn The House Down,AJR,2018-11-30
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-07
KIKA,6ix9ine Featuring Tory Lanez,2018-12-07
TIC TOC,6ix9ine Featuring Lil Baby,2018-12-07
Come Out And Play,Billie Eilish,2018-12-07
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,2018-12-07
You,Jacquees,2018-12-07
Going Bad,Meek Mill Featuring Drake,2018-12-14
What's Free,Meek Mill Featuring Rick Ross & JAY-Z,2018-12-14
On Me,Meek Mill Featuring Cardi B,2018-12-14
Rudolph The Red-Nosed Reindeer,Gene Autry,2018-12-14
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,2018-12-14
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,2018-12-14
Pure Cocaine,Lil Baby,2018-12-14
24/7,Meek Mill Featuring Ella Mai,2018-12-14
Intro,Meek Mill,2018-12-14
Respect The Game,Meek Mill,2018-12-14
Good Form,Nicki Minaj Featuring Lil Wayne,2018-12-14
Trauma,Meek Mill,2018-12-14
Time,Lil Baby Featuring Meek Mill,2018-12-14
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018-12-14
Calling My Spirit,Kodak Black,2018-12-14
Ready,Lil Baby Featuring Gunna,2018-12-14
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018-12-14
Championships,Meek Mill,2018-12-14
Tic Tac Toe,Meek Mill Featuring Kodak Black,2018-12-14
Almost Slipped,Meek Mill,2018-12-14
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",2018-12-14
Pay You Back,Meek Mill Featuring 21 Savage,2018-12-14
Foot Fungus,Ski Mask The Slump God,2018-12-14
Crush A Lot,Lil Baby,2018-12-14
Oodles O' Noodles Babies,Meek Mill,2018-12-14
Global,Lil Baby,2018-12-14
Word On The Street,Lil Baby,2018-12-14
whoa (mind in awe),XXXTENTACION,2018-12-21
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,2018-12-21
Sleigh Ride,The Ronettes,2018-12-21
Guardian Angel,XXXTENTACION,2018-12-21
I Don't Let Go,XXXTENTACION,2018-12-21
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,2018-12-21
Train Food,XXXTENTACION,2018-12-21
What Are You So Afraid Of,XXXTENTACION,2018-12-21
Staring At The Sky,XXXTENTACION,2018-12-21
Difference (Interlude),XXXTENTACION,2018-12-21
Look Back At It,A Boogie Wit da Hoodie,2018-12-21
This Is It,Scotty McCreery,2018-12-21
Imagine,Ariana Grande,2018-12-28
(There's No Place Like) Home For The Holidays,Perry Como,2018-12-28
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2018-12-28
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2018-12-28
Wonderful Christmastime,Paul McCartney,2018-12-28
White Christmas,Bing Crosby,2018-12-28
Christmas (Baby Please Come Home),Darlene Love,2018-12-28
MoshPit,Kodak Black Featuring Juice WRLD,2018-12-28
Cozy Little Christmas,Katy Perry,2018-12-28
Testimony,Kodak Black,2018-12-28
Sweet But Psycho,Ava Max,2018-12-28
Gnarly,Kodak Black Featuring Lil Pump,2018-12-28
The Christmas Song,Lauren Daigle,2018-12-28
Envy Me,Calboy,2018-12-28
A Lot,21 Savage,2019-01-04
Blue Christmas,Elvis Presley,2019-01-04
Run Rudolph Run,Chuck Berry,2019-01-04
Wow.,Post Malone,2019-01-04
Jingle Bells,Frank Sinatra,2019-01-04
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-01-04
Can't Leave Without It,21 Savage,2019-01-04
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-01-04
All My Friends,21 Savage,2019-01-04
Break Da Law,21 Savage,2019-01-04
Monster,21 Savage,2019-01-04
1.5,21 Savage,2019-01-04
Out For The Night,21 Savage,2019-01-04
Gun Smoke,21 Savage,2019-01-04
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,2019-01-04
ASMR,21 Savage,2019-01-04
Baby Shark,Pinkfong,2019-01-11
Take It From Me,Jordan Davis,2019-01-11
What Makes You Country,Luke Bryan,2019-01-11
Down To The Honkytonk,Jake Owen,2019-01-11
Love Someone,Lukas Graham,2019-01-11
Love Wins,Carrie Underwood,2019-01-11
Ruin My Life,Zara Larsson,2019-01-11
Body,Loud Luxury Featuring Brando,2019-01-11
Here Tonight,Brett Young,2019-01-11
Burn Out,Midland,2019-01-11
Solo de Mi,Bad Bunny,2019-01-11
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-01-11
Make It Sweet,Old Dominion,2019-01-11
idontwannabeyouanymore,Billie Eilish,2019-01-11
Undecided,Chris Brown,2019-01-18
Crushed Up,Future,2019-01-18
Butterfly Doors,Lil Pump,2019-01-18
Valuable Pain,YoungBoy Never Broke Again,2019-01-18
Lost In The Fire,Gesaffelstein & The Weeknd,2019-01-25
Dancing With A Stranger,Sam Smith & Normani,2019-01-25
Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-01-25
Thotiana,Blueface,2019-01-25
Let Me Down Slowly,Alec Benjamin + Alessia Cara,2019-01-25
Jumpin On A Jet,Future,2019-01-25
Splashin,Rich The Kid,2019-01-25
7 Rings,Ariana Grande,2019-02-01
Middle Child,J. Cole,2019-02-01
Keanu Reeves,Logic,2019-02-01
First Off,Future Featuring Travis Scott,2019-02-01
Never Stop,Future,2019-02-01
Secreto,Anuel AA & Karol G,2019-02-01
Mixed Personalities,YNW Melly Featuring Kanye West,2019-02-01
Temptation,Future,2019-02-01
Rocket Ship,Future,2019-02-01
Pure Water,Mustard & Migos,2019-02-01
F&N,Future,2019-02-01
On My Way To You,Cody Johnson,2019-02-01
Murder On My Mind,YNW Melly,2019-02-01
GIRL,Maren Morris,2019-02-01
Face My Fears,Hikaru Utada & Skrillex,2019-02-01
Call The Coroner,Future,2019-02-01
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-02-08
Bury A Friend,Billie Eilish,2019-02-08
I'm So Tired...,Lauv & Troye Sivan,2019-02-08
Shot Clock,Ella Mai,2019-02-08
Sauce!,XXXTENTACION,2019-02-08
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-02-08
Night Shift,Jon Pardi,2019-02-08
One Call,Gunna,2019-02-15
Miss Me More,Kelsea Ballerini,2019-02-15
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-22
Needy,Ariana Grande,2019-02-22
NASA,Ariana Grande,2019-02-22
Bloodline,Ariana Grande,2019-02-22
Ghostin,Ariana Grande,2019-02-22
Fake Smile,Ariana Grande,2019-02-22
Bad Idea,Ariana Grande,2019-02-22
In My Head,Ariana Grande,2019-02-22
Talk,Khalid,2019-02-22
Make Up,Ariana Grande,2019-02-22
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,2019-02-22
Rainbow,Kacey Musgraves,2019-02-22
Please Me,Cardi B & Bruno Mars,2019-03-01
Robbery,Juice WRLD,2019-03-01
Red Room,Offset,2019-03-01
Talk You Out Of It,Florida Georgia Line,2019-03-01
Eyes On You,Chase Rice,2019-03-01
365,Zedd & Katy Perry,2019-03-01
Worth It,YK Osiris,2019-03-01
There Was This Girl,Riley Green,2019-03-01
One That Got Away,Michael Ray,2019-03-01
Legacy,Offset Featuring Travis Scott & 21 Savage,2019-03-08
Walk Me Home,P!nk,2019-03-08
Clout,Offset Featuring Cardi B,2019-03-08
How Did I Get Here,Offset Featuring  J. Cole,2019-03-08
Outstanding,Gunna,2019-03-08
Be Like Me,Lil Pump Featuring Lil Wayne,2019-03-08
3 Headed Snake,Gunna Featuring Young Thug,2019-03-08
Wit It,Gunna,2019-03-08
Lick,Offset,2019-03-08
Girls Need Love,Summer Walker X Drake,2019-03-08
Speed It Up,Gunna,2019-03-08
I Guess I Just Feel Like,John Mayer,2019-03-08
Good As You,Kane Brown,2019-03-08
Same Yung N***a,Gunna Featuring Playboi Carti,2019-03-08
Faucet Failure,Ski Mask The Slump God,2019-03-08
Sucker,Jonas Brothers,2019-03-15
I,Lil Skies,2019-03-15
Look What God Gave Her,Thomas Rhett,2019-03-15
Hear Me Calling,Juice WRLD,2019-03-15
Wish You Were Gay,Billie Eilish,2019-03-15
Whip,2 Chainz Featuring Travis Scott,2019-03-15
Act Up,City Girls,2019-03-15
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-03-15
Whiskey Glasses,Morgan Wallen,2019-03-15
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",2019-03-15
Rule The World,2 Chainz Featuring Ariana Grande,2019-03-15
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,2019-03-15
Empty,Juice WRLD,2019-03-22
Fast,Juice WRLD,2019-03-22
Maze,Juice WRLD,2019-03-22
Here With Me,Marshmello Featuring CHVRCHES,2019-03-22
My Bad,Khalid,2019-03-22
Undrunk,FLETCHER,2019-03-22
Rumor,Lee Brice,2019-03-22
Flaws And Sins,Juice WRLD,2019-03-22
Calma,Pedro Capo X Farruko,2019-03-22
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,2019-03-22
Numb Numb Juice,ScHoolboy Q,2019-03-29
Sally Walker,Iggy Azalea,2019-03-29
Slow Dancing In The Dark,Joji,2019-03-29
Price On My Head,NAV Featuring The Weeknd,2019-04-05
Confessions Of A Dangerous Mind,Logic,2019-04-05
Tap,NAV Featuring Meek Mill,2019-04-05
Pop Out,Polo G Featuring Lil Tjay,2019-04-05
Don't Call Me Up,Mabel,2019-04-05
Last Hurrah,Bebe Rexha,2019-04-05
Bad Guy,Billie Eilish,2019-04-12
Xanny,Billie Eilish,2019-04-12
My Strange Addiction,Billie Eilish,2019-04-12
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-04-12
All The Good Girls Go To Hell,Billie Eilish,2019-04-12
I Love You,Billie Eilish,2019-04-12
God's Country,Blake Shelton,2019-04-12
Ilomilo,Billie Eilish,2019-04-12
Listen Before I Go,Billie Eilish,2019-04-12
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,2019-04-12
Monopoly,Ariana Grande & Victoria Monet,2019-04-12
8,Billie Eilish,2019-04-12
Last Time That I Checc'd,Nipsey Hussle Featuring YG,2019-04-12
Suge,DaBaby,2019-04-12
Dedication,Nipsey Hussle Featuring Kendrick Lamar,2019-04-12
Cool,Jonas Brothers,2019-04-19
Kill This Love,BLACKPINK,2019-04-19
Outta My Head,Khalid With John Mayer,2019-04-19
Don't Pretend,Khalid x SAFE,2019-04-19
Bad Luck,Khalid,2019-04-19
Right Back,Khalid Featuring A Boogie Wit da Hoodie,2019-04-19
Inmortal,Aventura,2019-04-19
Big Ole Freak,Megan Thee Stallion,2019-04-19
Victory Lap,Nipsey Hussle Featuring Stacy Barthe,2019-04-19
Boy With Luv,BTS Featuring Halsey,2019-04-26
Sanguine Paradise,Lil Uzi Vert,2019-04-26
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",2019-04-26
SOS,Avicii Featuring Aloe Blacc,2019-04-26
That's A Rack,Lil Uzi Vert,2019-04-26
Love Ain't,Eli Young Band,2019-04-26
Make It Right,BTS Featuring Lauv,2019-04-26
"Hey Look Ma, I Made It",Panic! At The Disco,2019-04-26
Earth,Lil Dicky,2019-05-03
Before I Let Go,Beyonce,2019-05-03
Slide,French Montana Featuring Blueface & Lil Tjay,2019-05-03
Love Someone,Brett Eldredge,2019-05-03
Shotta Flow,NLE Choppa,2019-05-03
ME!,Taylor Swift Featuring Brendon Urie,2019-05-03
Floating,ScHoolboy Q Featuring 21 Savage,2019-05-10
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2019-05-10
CHopstix,ScHoolboy Q + Travis Scott,2019-05-10
Light It Up,"Marshmello, Tyga & Chris Brown",2019-05-10
Power Is Power,"SZA, The Weeknd & Travis Scott",2019-05-10
Knockin' Boots,Luke Bryan,2019-05-10
Love Me Anyway,P!nk Featuring Chris Stapleton,2019-05-10
Stop Snitching,YG,2019-05-10
If I Can't Have You,Shawn Mendes,2019-05-17
Homicide,Logic Featuring Eminem,2019-05-17
Truth Hurts,Lizzo,2019-05-17
Beer Never Broke My Heart,Luke Combs,2019-05-17
Go Loko,"YG, Tyga & Jon Z",2019-05-17
Middle Child,PnB Rock & XXXTENTACION,2019-05-17
All To Myself,Dan + Shay,2019-05-17
Paradise,Bazzi,2019-05-17
Die Young,Roddy Ricch,2019-05-17
I Don't Care,Ed Sheeran & Justin Bieber,2019-05-24
Triggered,Jhene Aiko,2019-05-24
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-05-24
Someone You Loved,Lewis Capaldi,2019-05-24
Te Robare,Nicky Jam X Ozuna,2019-05-24
Juice,Lizzo,2019-05-24
EARFQUAKE,"Tyler, The Creator",2019-05-31
Nightmare,Halsey,2019-05-31
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,2019-05-31
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2019-05-31
Just Us,DJ Khaled Featuring SZA,2019-05-31
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",2019-05-31
I Think,"Tyler, The Creator",2019-05-31
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,2019-05-31
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2019-05-31
Running Out Of Time,"Tyler, The Creator",2019-05-31
Igor's Theme,"Tyler, The Creator",2019-05-31
New Magic Wand,"Tyler, The Creator",2019-05-31
A Boy Is A Gun,"Tyler, The Creator",2019-05-31
What's Good,"Tyler, The Creator",2019-05-31
What If I Never Get Over You,Lady Antebellum,2019-05-31
Puppet,"Tyler, The Creator",2019-05-31
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,2019-05-31
The London,"Young Thug, J. Cole & Travis Scott",2019-06-07
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-06-07
Easier,5 Seconds Of Summer,2019-06-07
Isis,Joyner Lucas Featuring Logic,2019-06-07
Some Of It,Eric Church,2019-06-07
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",2019-06-07
HP,Maluma,2019-06-07
Rearview Town,Jason Aldean,2019-06-07
Never Really Over,Katy Perry,2019-06-14
Press,Cardi B,2019-06-14
Mother's Daughter,Miley Cyrus,2019-06-14
Call You Mine,The Chainsmokers & Bebe Rexha,2019-06-14
The Search,NF,2019-06-14
Shut Up About Politics,John Rich Featuring The Five,2019-06-14
La La Land,Bryce Vine Featuring YG,2019-06-14
Ran$om,Lil Tecca,2019-06-14
Under Enemy Arms,Trippie Redd,2019-06-14
Raised On Country,Chris Young,2019-06-14
Trampoline,SHAED,2019-06-14
No Guidance,Chris Brown Featuring Drake,2019-06-21
Even Though I'm Leaving,Luke Combs,2019-06-21
The Git Up,Blanco Brown,2019-06-21
Callaita,Bad Bunny & Tainy,2019-06-21
Heaven,Avicii,2019-06-21
Please Tell Me,Future,2019-06-21
Amor Genuino,Ozuna,2019-06-21
Only Human,Jonas Brothers,2019-06-21
XanaX Damage,Future,2019-06-21
Government Official,Future,2019-06-21
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-06-21
You Need To Calm Down,Taylor Swift,2019-06-28
Money In The Grave,Drake Featuring Rick Ross,2019-06-28
Omerta,Drake,2019-06-28
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",2019-06-28
Sanctuary,Joji,2019-06-28
Rescue Me,Marshmello Featuring A Day To Remember,2019-06-28
It's You,Ali Gatie,2019-06-28
The Ones That Didn't Make It Back Home,Justin Moore,2019-06-28
Senorita,Shawn Mendes & Camila Cabello,2019-07-05
Panini,Lil Nas X,2019-07-05
MEGATRON,Nicki Minaj,2019-07-05
Rodeo,Lil Nas X & Cardi B Or Nas,2019-07-05
One Thing Right,Marshmello & Kane Brown,2019-07-05
Out The Mud,Lil Baby Featuring Future,2019-07-05
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-07-05
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,2019-07-05
Beautiful People,Ed Sheeran Featuring Khalid,2019-07-12
Higher Love,Kygo X Whitney Houston,2019-07-12
Que Pretendes,J Balvin & Bad Bunny,2019-07-12
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,2019-07-12
When I Grow Up,NF,2019-07-12
My Type,Saweetie,2019-07-12
Lalala,Y2K & bbno$,2019-07-12
Goodbyes,Post Malone Featuring Young Thug,2019-07-19
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",2019-07-19
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,2019-07-19
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",2019-07-19
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",2019-07-19
I Don't Know About You,Chris Lane,2019-07-19
Antisocial,Ed Sheeran & Travis Scott,2019-07-26
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,2019-07-26
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,2019-07-26
Tip Of My Tongue,Kenny Chesney,2019-07-26
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",2019-07-26
Like A Rodeo,Kane Brown,2019-07-26
Time,NF,2019-07-26
Southbound,Carrie Underwood,2019-07-26
Spirit,Beyonce,2019-07-26
Best Part Of Me,Ed Sheeran Featuring YEBBA,2019-07-26
How Do You Sleep?,Sam Smith,2019-08-02
Baby,Lil Baby & DaBaby,2019-08-02
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-08-02
The Archer,Taylor Swift,2019-08-02
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",2019-08-02
Hate Me,Ellie Goulding & Juice WRLD,2019-08-02
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",2019-08-02
Ballin',Mustard & Roddy Ricch,2019-08-02
Gold Roses,Rick Ross Featuring Drake,2019-08-09
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,2019-08-09
Single Again,Big Sean,2019-08-09
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,2019-08-09
Living,Dierks Bentley,2019-08-09
Leave Me Alone,NF,2019-08-09
Daddy,Blueface & Rich The Kid,2019-08-09
All Day Long,Chance The Rapper Featuring John Legend,2019-08-09
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,2019-08-09
Boyfriend,Ariana Grande & Social House,2019-08-16
Trust Issues,Drake,2019-08-16
How About Now,Drake,2019-08-16
The Motion,Drake,2019-08-16
Queen Of Mean,Sarah Jeffery,2019-08-16
Dreams Money Can Buy,Drake,2019-08-16
Uno,Ambjaay,2019-08-16
Club Paradise,Drake,2019-08-16
We Were,Keith Urban,2019-08-16
Fear Inoculum,Tool,2019-08-16
Love You Too Late,Cole Swindell,2019-08-16
Days In The East,Drake,2019-08-16
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,2019-08-16
Prayed For You,Matt Stell,2019-08-16
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-08-23
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,2019-08-23
Small Talk,Katy Perry,2019-08-23
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",2019-08-23
On Chill,Wale Featuring Jeremih,2019-08-23
Snake Skin,Trippie Redd,2019-08-23
Buy My Own Drinks,Runaway June,2019-08-23
F.N,Lil Tjay,2019-08-23
Baby Sitter,DaBaby Featuring Offset,2019-08-23
Lover,Taylor Swift,2019-08-30
Hot,Young Thug Featuring Gunna,2019-08-30
Bad Bad Bad,Young Thug Featuring Lil Baby,2019-08-30
Motivation,Normani,2019-08-30
Slide Away,Miley Cyrus,2019-08-30
What's The Move,Young Thug Featuring Lil Uzi Vert,2019-08-30
Just How It Is,Young Thug,2019-08-30
Surf,Young Thug Featuring Gunna,2019-08-30
Sup Mate,Young Thug Featuring Future,2019-08-30
Won't Be Late,Swae Lee Featuring Drake,2019-08-30
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2019-08-30
Light It Up,Young Thug,2019-08-30
Juicy,Doja Cat & Tyga,2019-08-30
Lil Baby,Young Thug,2019-08-30
Ecstasy,Young Thug Featuring Machine Gun Kelly,2019-08-30
Every Little Thing,Russell Dickerson,2019-08-30
Did It Again,Lil Tecca,2019-08-30
The Man,Taylor Swift,2019-09-06
I Forgot That You Existed,Taylor Swift,2019-09-06
Cruel Summer,Taylor Swift,2019-09-06
Paper Rings,Taylor Swift,2019-09-06
Miss Americana & The Heartbreak Prince,Taylor Swift,2019-09-06
I Think He Knows,Taylor Swift,2019-09-06
Good As Hell,Lizzo,2019-09-06
Cornelia Street,Taylor Swift,2019-09-06
London Boy,Taylor Swift,2019-09-06
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,2019-09-06
Death By A Thousand Cuts,Taylor Swift,2019-09-06
Afterglow,Taylor Swift,2019-09-06
False God,Taylor Swift,2019-09-06
Playing Games,Summer Walker,2019-09-06
Daylight,Taylor Swift,2019-09-06
One Man Band,Old Dominion,2019-09-06
It's Nice To Have A Friend,Taylor Swift,2019-09-06
Circles,Post Malone,2019-09-13
Doin' Time,Lana Del Rey,2019-09-13
Babushka Boi,A$AP Rocky,2019-09-13
Heat,Chris Brown Featuring Gunna,2019-09-13
Out Of Luck,Lil Tecca,2019-09-13
Shots,Lil Tecca,2019-09-13
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,2019-09-13
Good Vibes,Chris Janson,2019-09-13
God Only Knows,for KING & COUNTRY,2019-09-13
The Bones,Maren Morris,2019-09-13
Love Me,Lil Tecca,2019-09-13
La Cancion,J Balvin & Bad Bunny,2019-09-13
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-09-20
Hollywood's Bleeding,Post Malone,2019-09-20
Enemies,Post Malone Featuring DaBaby,2019-09-20
Saint-Tropez,Post Malone,2019-09-20
Die For Me,Post Malone Featuring Future & Halsey,2019-09-20
On The Road,Post Malone Featuring Meek Mill & Lil Baby,2019-09-20
A Thousand Bad Times,Post Malone,2019-09-20
I'm Gonna Be,Post Malone,2019-09-20
Staring At The Sun,Post Malone Featuring SZA,2019-09-20
Allergic,Post Malone,2019-09-20
Myself,Post Malone,2019-09-20
I Know,Post Malone,2019-09-20
Liar,Camila Cabello,2019-09-20
Internet,Post Malone,2019-09-20
Shameless,Camila Cabello,2019-09-20
Self Control,YoungBoy Never Broke Again,2019-09-20
homecoming queen?,Kelsea Ballerini,2019-09-20
223's,YNW Melly & 9lokknine,2019-09-20
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-09-27
Camelot,NLE Choppa,2019-09-27
Graveyard,Halsey,2019-09-27
Behind Barz,Drake,2019-09-27
Mood Swings,A Boogie Wit da Hoodie,2019-09-27
Hot Girl Bummer,blackbear,2019-09-27
"1, 2 Many",Luke Combs & Brooks & Dunn,2019-09-27
Remember You Young,Thomas Rhett,2019-09-27
INTRO,DaBaby,2019-10-04
Memories,Maroon 5,2019-10-04
Adicto,"Tainy, Anuel AA & Ozuna",2019-10-04
Stuck In A Dream,Lil Mosey x Gunna,2019-10-04
Loco Contigo,"DJ Snake, J. Balvin & Tyga",2019-10-04
BOP,DaBaby,2019-10-11
VIBEZ,DaBaby,2019-10-11
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,2019-10-11
iPHONE,DaBaby & Nicki Minaj,2019-10-11
OFF THE RIP,DaBaby,2019-10-11
POP STAR,DaBaby Featuring Kevin Gates,2019-10-11
RAW SHIT,DaBaby Featuring Migos,2019-10-11
GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",2019-10-11
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian",2019-10-11
REALLY,DaBaby Featuring Stunna 4 Vegas,2019-10-11
XXL,DaBaby,2019-10-11
PROLLY HEARD,DaBaby,2019-10-11
Chicken Noodle Soup,j-hope Featuring Becky G.,2019-10-11
Heartache Medication,Jon Pardi,2019-10-11
By My Lonely,Kevin Gates,2019-10-11
There He Go,DaBaby,2019-10-11
HIGHEST IN THE ROOM,Travis Scott,2019-10-18
"10,000 Hours",Dan + Shay & Justin Bieber,2019-10-18
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-10-18
Come Thru,Summer Walker & Usher,2019-10-18
I'll Kill You,Summer Walker Featuring Jhene Aiko,2019-10-18
Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,2019-10-18
Body,Summer Walker,2019-10-18
Drunk Dialing...LODT,Summer Walker,2019-10-18
Over It,Summer Walker,2019-10-18
Nice To Meet Ya,Niall Horan,2019-10-18
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-10-18
Potential,Summer Walker,2019-10-18
Dance Monkey,Tones And I,2019-10-18
Lights Up,Harry Styles,2019-10-25
Lonely Child,YoungBoy Never Broke Again,2019-10-25
Make No Sense,YoungBoy Never Broke Again,2019-10-25
Carter Son,YoungBoy Never Broke Again,2019-10-25
Kinfolks,Sam Hunt,2019-10-25
Hot Now,YoungBoy Never Broke Again,2019-10-25
All Dat,Moneybagg Yo X Megan Thee Stallion,2019-10-25
In Control,YoungBoy Never Broke Again,2019-10-25
Time I'm On,YoungBoy Never Broke Again,2019-10-25
Rich As Hell,YoungBoy Never Broke Again,2019-10-25
Lose You To Love Me,Selena Gomez,2019-11-01
Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",2019-11-01
DHL,Frank Ocean,2019-11-01
Follow God,Kanye West,2019-11-08
Closed On Sunday,Kanye West,2019-11-08
Selah,Kanye West,2019-11-08
On God,Kanye West,2019-11-08
Look At Her Now.,Selena Gomez,2019-11-08
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,2019-11-08
God Is,Kanye West,2019-11-08
Use This Gospel,Kanye West Featuring Clipse & Kenny G,2019-11-08
Every Hour,Kanye West Featuring Sunday Service Choir,2019-11-08
Water,Kanye West Featuring Ant Clemons,2019-11-08
Hands On,Kanye West Featuring Fred Hammond,2019-11-08
Jesus Is Lord,Kanye West,2019-11-08
Start Wit Me,Roddy Ricch & Gunna,2019-11-08
What She Wants Tonight,Luke Bryan,2019-11-08
Don't Start Now,Dua Lipa,2019-11-15
Roxanne,Arizona Zervas,2019-11-15
Immortal,21 Savage,2019-11-15
It All Comes Out In The Wash,Miranda Lambert,2019-11-15
Love Me More,Trippie Redd,2019-11-15
In My Room,Frank Ocean,2019-11-15
Ridin' Roads,Dustin Lynch,2019-11-15
For My Daughter,Kane Brown,2019-11-15
Easy,DaniLeigh Featuring Chris Brown,2019-11-15
