song,artist,date,loveSong
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17/7/2020,
Mood Swings,Pop Smoke Featuring Lil Tjay,17/7/2020,
Shake The Room,Pop Smoke Featuring Quavo,6/3/2020,
Aim For The Moon,Pop Smoke Featuring Quavo,17/7/2020,
Snitchin,Pop Smoke Featuring Quavo & Future,17/7/2020,
Make It Rain,Pop Smoke Featuring Rowdy Rebel,26/6/2020,
Creature,Pop Smoke Featuring Swae Lee,17/7/2020,
West Coast Shit,Pop Smoke Featuring Tyga & Quavo,17/7/2020,
Feel It Still,Portugal. The Man,7/7/2017,
White Iverson,Post Malone,25/9/2015,
Go Flex,Post Malone,13/5/2016,
I Fall Apart,Post Malone,13/10/2017,
Candy Paint,Post Malone,10/11/2017,
Better Now,Post Malone,11/5/2018,
Paranoid,Post Malone,11/5/2018,
Rich & Sad,Post Malone,11/5/2018,
Stay,Post Malone,11/5/2018,
Zack And Codeine,Post Malone,11/5/2018,
Over Now,Post Malone,11/5/2018,
Takin' Shots,Post Malone,11/5/2018,
92 Explorer,Post Malone,11/5/2018,
Otherside,Post Malone,11/5/2018,
Blame It On Me,Post Malone,11/5/2018,
Sugar Wraith,Post Malone,11/5/2018,
Jonestown (Interlude),Post Malone,11/5/2018,
Wow.,Post Malone,4/1/2019,
Circles,Post Malone,13/9/2019,
Hollywood's Bleeding,Post Malone,20/9/2019,
Saint-Tropez,Post Malone,20/9/2019,
A Thousand Bad Times,Post Malone,20/9/2019,
I'm Gonna Be,Post Malone,20/9/2019,
Allergic,Post Malone,20/9/2019,
Myself,Post Malone,20/9/2019,
I Know,Post Malone,20/9/2019,
Internet,Post Malone,20/9/2019,
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2/11/2018,
Rockstar,Post Malone Featuring 21 Savage,6/10/2017,
Enemies,Post Malone Featuring DaBaby,20/9/2019,
Die For Me,Post Malone Featuring Future & Halsey,20/9/2019,
Same Bitches,Post Malone Featuring G-Eazy & YG,11/5/2018,
Deja Vu,Post Malone Featuring Justin Bieber,30/9/2016,
On The Road,Post Malone Featuring Meek Mill & Lil Baby,20/9/2019,
Ball For Me,Post Malone Featuring Nicki Minaj,11/5/2018,
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,20/9/2019,
Congratulations,Post Malone Featuring Quavo,30/12/2016,
Spoil My Night,Post Malone Featuring Swae Lee,11/5/2018,
Staring At The Sun,Post Malone Featuring SZA,20/9/2019,
Psycho,Post Malone Featuring Ty Dolla $ign,9/3/2018,
Goodbyes,Post Malone Featuring Young Thug,19/7/2019,
Death Bed,Powfu Featuring beabadoobee,27/3/2020,
When Doves Cry,Prince,6/5/2016,
Little Red Corvette,Prince,6/5/2016,
1999,Prince,6/5/2016,
Purple Rain,Prince And The Revolution,6/5/2016,
Kiss,Prince And The Revolution,6/5/2016,
Let's Go Crazy,Prince And The Revolution,6/5/2016,
Raspberry Beret,Prince And The Revolution,13/5/2016,
I Would Die 4 U,Prince And The Revolution,13/5/2016,
Darte Un Beso,Prince Royce,6/9/2013,
Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,26/6/2015,
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,9/1/2015,
Gangnam Style,PSY,21/9/2012,
Gentleman,PSY,26/4/2013,
Daddy,PSY Featuring CL,18/12/2015,
Hangover,PSY Featuring Snoop Dogg,27/6/2014,
Infrared,Pusha T,8/6/2018,
If You Know You Know,Pusha T,8/6/2018,
The Games We Play,Pusha T,8/6/2018,
What Would Meek Do?,Pusha T Featuring Kanye West,8/6/2018,
New God Flow,Pusha T Kanye West,10/8/2012,
W O R K I N  M E,Quavo,24/8/2018,
Biggest Alley Oop,Quavo,26/10/2018,
Huncho Dreams,Quavo,26/10/2018,
Ice Tray,Quavo & Lil Yachty,5/1/2018,
Pass Out,Quavo Featuring 21 Savage,26/10/2018,
Flip The Switch,Quavo Featuring Drake,26/10/2018,
Lose It,Quavo Featuring Lil Baby,26/10/2018,
Rerun,Quavo Featuring Travis Scott,26/10/2018,
Too Hotty,"Quavo, Takeoff & Offset",27/10/2017,
Bohemian Rhapsody,Queen,16/11/2018,0
Under Pressure,Queen & David Bowie,29/1/2016,0
Medicine,Queen Naija,13/4/2018,
Karma,Queen Naija,13/7/2018,
Locked Away,R. City Featuring Adam Levine,7/8/2015,
When A Woman Loves,R. Kelly,31/12/2010,
My Story,R. Kelly Featuring 2 Chainz,27/12/2013,
Fight Song,Rachel Platten,1/5/2015,
Stand By You,Rachel Platten,27/11/2015,
No Flex Zone,Rae Sremmurd,15/8/2014,
No Type,Rae Sremmurd,10/10/2014,
This Could Be Us,Rae Sremmurd,26/6/2015,
Come Get Her,Rae Sremmurd,2/10/2015,
Look Alive,Rae Sremmurd,2/9/2016,
Swang,Rae Sremmurd,6/1/2017,
Perplexing Pegasus,Rae Sremmurd,25/8/2017,
Powerglide,Rae Sremmurd & Juicy J,16/3/2018,
Close,Rae Sremmurd & Travis Scott,4/5/2018,
Black Beatles,Rae Sremmurd Featuring Gucci Mane,30/9/2016,
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,16/1/2015,
God Made Girls,RaeLynn,7/11/2014,
Human,Rag'n'Bone Man,21/4/2017,
How Country Feels,Randy Houser,19/10/2012,
Runnin' Outta Moonlight,Randy Houser,24/5/2013,
Goodnight Kiss,Randy Houser,24/1/2014,
Like A Cowboy,Randy Houser,19/12/2014,
We Went,Randy Houser,20/11/2015,
Unstoppable,Rascal Flatts,26/2/2010,1
Why Wait,Rascal Flatts,3/9/2010,1
I Won't Let Go,Rascal Flatts,12/11/2010,1
Banjo,Rascal Flatts,2/3/2012,
Changed,Rascal Flatts,30/3/2012,
Come Wake Me Up,Rascal Flatts,10/8/2012,
Rewind,Rascal Flatts,31/1/2014,
I Like The Sound Of That,Rascal Flatts,12/2/2016,
Yours If You Want It,Rascal Flatts,9/6/2017,
Easy,Rascal Flatts Featuring Natasha Bedingfield,12/8/2011,
I Hit It First,Ray J Featuring Bobby Brackins,26/4/2013,
Consider Me Gone,Reba,1/1/2010,1
I Keep On Loving You,Reba,7/5/2010,1
Turn On The Radio,Reba,1/10/2010,0
Friday,Rebecca Black,1/4/2011,0
Saturday,Rebecca Black & Dave Days,27/12/2013,0
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,5/8/2011,
Dark Necessities,Red Hot Chili Peppers,8/7/2016,
Rise Above 1,Reeve Carney Featuring Bono & The Edge,10/6/2011,
Ride It.,Regard,24/4/2020,
Me Niego,Reik Featuring Ozuna & Wisin,25/5/2018,
Cat Daddy,Rej3ctz,17/6/2011,
Its Every Night Sis,RiceGum Featuring Alissa Violet,8/9/2017,
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",24/5/2013,
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,1/8/2014,
Type Of Way,Rich Homie Quan,2/8/2013,
Flex (Ooh Ooh Ooh),Rich Homie Quan,8/5/2015,
Walk Thru,Rich Homie Quan Featuring Problem,5/9/2014,
Plug Walk,Rich The Kid,23/2/2018,
Splashin,Rich The Kid,25/1/2019,
New Freezer,Rich The Kid Featuring Kendrick Lamar,9/2/2018,
Sorry,Rick Ross Featuring Chris Brown,25/12/2015,
Gold Roses,Rick Ross Featuring Drake,9/8/2019,
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,6/8/2010,0
Stay Schemin,Rick Ross Featuring Drake & French Montana,4/5/2012,
The Devil Is A Lie,Rick Ross Featuring JAY Z,21/3/2014,
Sanctified,Rick Ross Featuring Kanye West & Big Sean,21/3/2014,
9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,27/5/2011,
Super High,Rick Ross Featuring Ne-Yo,11/6/2010,0
You The Boss,Rick Ross Featuring Nicki Minaj,4/11/2011,
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,23/7/2010,0
Diced Pineapples,Rick Ross Featuring Wale & Drake,17/8/2012,
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,7/4/2017,
They Don't Know,Rico Love,7/2/2014,
Russian Roulette,Rihanna,1/1/2010,0
Redemption Song,Rihanna,5/2/2010,0
Rude Boy,Rihanna,26/2/2010,0
Only Girl (In The World),Rihanna,24/9/2010,1
California King Bed,Rihanna,3/6/2011,
Man Down,Rihanna,10/6/2011,
Cheers (Drink To That),Rihanna,12/8/2011,
You Da One,Rihanna,25/11/2011,
Where Have You Been,Rihanna,9/12/2011,
Diamonds,Rihanna,12/10/2012,
Pour It Up,Rihanna,18/1/2013,
What Now,Rihanna,8/11/2013,
B**** Better Have My Money,Rihanna,10/4/2015,
American Oxygen,Rihanna,1/5/2015,
Needed Me,Rihanna,19/2/2016,
Kiss It Better,Rihanna,22/4/2016,
Love On The Brain,Rihanna,10/6/2016,
Sex With Me,Rihanna,5/8/2016,
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,6/2/2015,
S&M,Rihanna Featuring Britney Spears,3/12/2010,
We Found Love,Rihanna Featuring Calvin Harris,7/10/2011,
Birthday Cake,Rihanna Featuring Chris Brown,9/3/2012,
Right Now,Rihanna Featuring David Guetta,5/7/2013,
What's My Name?,Rihanna Featuring Drake,5/11/2010,0
Work,Rihanna Featuring Drake,12/2/2016,
Loveeeeeee Song,Rihanna Featuring Future,15/2/2013,
Talk That Talk,Rihanna Featuring Jay-Z,9/12/2011,
Hard,Rihanna Featuring Jeezy,1/1/2010,0
Stay,Rihanna Featuring Mikky Ekko,22/2/2013,
Rockstar 101,Rihanna Featuring Slash,13/8/2010,0
There Was This Girl,Riley Green,1/3/2019,
I Wish Grandpas Never Died,Riley Green,10/1/2020,
Help Is On The Way,Rise Against,11/2/2011,
How We Do (Party),Rita Ora,8/6/2012,
I Will Never Let You Down,Rita Ora,15/8/2014,
Put Your Records On,Ritt Momney,9/10/2020,
Me And My Broken Heart,Rixton,11/4/2014,
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,19/8/2016,
Someday,Rob Thomas,1/1/2010,1
Mockingbird,Rob Thomas,30/7/2010,1
Sugar,Robin Schulz Featuring Francesco Yates,22/1/2016,
Sex Therapy,Robin Thicke,1/1/2010,1
Get Her Back,Robin Thicke,11/7/2014,
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,6/9/2013,
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,3/5/2013,
The Big Bang,ROCKMAFIA,19/11/2010,0
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,26/4/2013,
Heart On Ice,Rod Wave,22/11/2019,
Fuck The World,Rod Wave,17/4/2020,
Pray 4 Love,Rod Wave,17/4/2020,
Thief In The Night,Rod Wave,17/4/2020,
I Remember,Rod Wave,17/4/2020,
The Greatest,Rod Wave,17/4/2020,
Ribbon In The Sky,Rod Wave,17/4/2020,
Thug Life,Rod Wave,17/4/2020,
No Weakness,Rod Wave,17/4/2020,
Girl Of My Dreams,Rod Wave,24/4/2020,
Letter From Houston,Rod Wave,21/8/2020,
Freestyle,Rod Wave,21/8/2020,
Cuban Links,Rod Wave & Kevin Gates,6/12/2019,
Rags2Riches,Rod Wave Featuring ATR Son Son,10/7/2020,
Die Young,Roddy Ricch,17/5/2019,
The Box,Roddy Ricch,20/12/2019,
Big Stepper,Roddy Ricch,20/12/2019,
Start Wit Me,Roddy Ricch & Gunna,8/11/2019,
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,13/12/2019,
Peta,Roddy Ricch Featuring Meek Mill,20/12/2019,
High Fashion,Roddy Ricch Featuring Mustard,10/1/2020,
Farmer's Daughter,Rodney Atkins,2/7/2010,1
Take A Back Road,Rodney Atkins,17/6/2011,
You,Romeo Santos,24/6/2011,
Propuesta Indecente,Romeo Santos,27/9/2013,
Heroe Favorito,Romeo Santos,3/3/2017,
Imitadora,Romeo Santos,11/8/2017,
Odio,Romeo Santos Featuring Drake,14/2/2014,
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,22/12/2017,
Promise,Romeo Santos Featuring Usher,4/11/2011,
Bleed Red,Ronnie Dunn,25/2/2011,
Cost Of Livin',Ronnie Dunn,9/9/2011,
TKN,ROSALIA & Travis Scott,12/6/2020,
Good Good Night,Roscoe Dash,28/10/2011,
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,12/2/2010,0
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",9/8/2013,
Lay It All On Me,Rudimental Featuring Ed Sheeran,16/10/2015,
Buy My Own Drinks,Runaway June,23/8/2019,
What They Want,Russ,11/11/2016,
Losin Control,Russ,17/3/2017,
BEST ON EARTH,Russ & BIA,20/12/2019,
Yours,Russell Dickerson,3/11/2017,
Blue Tacoma,Russell Dickerson,31/8/2018,
Every Little Thing,Russell Dickerson,30/8/2019,
Love You Like I Used To,Russell Dickerson,18/9/2020,
Lost Boy,Ruth B,11/3/2016,
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,2/10/2020,
Soldier Of Love,Sade,29/1/2010,1
Red Nose,Sage The Gemini,2/8/2013,
Now & Later,Sage The Gemini,24/2/2017,
Gas Pedal,Sage The Gemini Featuring IamSu!,9/8/2013,
Good Thing,Sage The Gemini Featuring Nick Jonas,3/7/2015,
Roses,SAINt JHN,3/4/2020,
Driving Me Crazy,Sam Adams,26/3/2010,0
Leave The Night On,Sam Hunt,11/7/2014,
Take Your Time,Sam Hunt,16/1/2015,
House Party,Sam Hunt,19/6/2015,
Break Up In A Small Town,Sam Hunt,23/10/2015,
Make You Miss Me,Sam Hunt,17/6/2016,
Drinkin' Too Much,Sam Hunt,27/1/2017,
Body Like A Back Road,Sam Hunt,17/2/2017,
Downtown's Dead,Sam Hunt,1/6/2018,
Kinfolks,Sam Hunt,25/10/2019,
Hard To Forget,Sam Hunt,10/4/2020,
Fade Into You,Sam Palladio & Clare Bowen,9/11/2012,
Stay With Me,Sam Smith,18/4/2014,
Leave Your Lover,Sam Smith,6/6/2014,
I'm Not The Only One,Sam Smith,20/6/2014,1
Lay Me Down,Sam Smith,20/2/2015,
Like I Can,Sam Smith,10/7/2015,
Writing's On The Wall,Sam Smith,16/10/2015,
Too Good At Goodbyes,Sam Smith,29/9/2017,
How Do You Sleep?,Sam Smith,2/8/2019,
To Die For,Sam Smith,28/2/2020,
Diamonds,Sam Smith,2/10/2020,
I'm Ready,Sam Smith & Demi Lovato,1/5/2020,
Dancing With A Stranger,Sam Smith & Normani,25/1/2019,
Pray,Sam Smith Featuring Logic,27/10/2017,
On My Own,Samantha Barks,18/1/2013,
King Of Anything,Sara Bareilles,9/7/2010,0
Brave,Sara Bareilles,10/5/2013,
I Choose You,Sara Bareilles,23/5/2014,
A Little Bit Stronger,Sara Evans,14/1/2011,
Slow Me Down,Sara Evans,28/3/2014,
The Story,Sara Ramirez,15/4/2011,
Queen Of Mean,Sarah Jeffery,16/8/2019,
My Type,Saweetie,12/7/2019,
Tap In,Saweetie,24/7/2020,
Back To The Streets,Saweetie Featuring Jhene Aiko,6/11/2020,
Imagine,Sawyer Fredericks,1/5/2015,0
Iris,Sawyer Fredericks,8/5/2015,
Simple Man,Sawyer Fredericks,15/5/2015,
Shine On,Sawyer Fredericks,22/5/2015,
Please,Sawyer Fredericks,5/6/2015,
Old Man,Sawyer Fredericks,5/6/2015,
Man Of The Year,ScHoolboy Q,7/2/2014,
Numb Numb Juice,ScHoolboy Q,29/3/2019,
CHopstix,ScHoolboy Q + Travis Scott,10/5/2019,
Floating,ScHoolboy Q Featuring 21 Savage,10/5/2019,
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,20/6/2014,
THat Part,ScHoolboy Q Featuring Kanye West,3/6/2016,
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,1/11/2013,
X,"ScHoolboy Q, 2 Chainz & Saudi",23/2/2018,
I Love You This Big,Scotty McCreery,10/6/2011,
The Trouble With Girls,Scotty McCreery,23/9/2011,
See You Tonight,Scotty McCreery,26/4/2013,
Feelin' It,Scotty McCreery,10/10/2014,
Five More Minutes,Scotty McCreery,22/12/2017,
This Is It,Scotty McCreery,21/12/2018,
In Between,Scotty McCreery,24/4/2020,
Dumb Love,Sean Kingston,24/9/2010,1
Eenie Meenie,Sean Kingston & Justin Bieber,9/4/2010,1
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,3/5/2013,
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,20/8/2010,1
She Doesn't Mind,Sean Paul,13/4/2012,
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,30/9/2011,
Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",18/9/2020,
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",21/6/2019,
Country Song,Seether,25/3/2011,
Come & Get It,Selena Gomez,26/4/2013,
Slow Down,Selena Gomez,21/6/2013,
The Heart Wants What It Wants,Selena Gomez,21/11/2014,
Same Old Love,Selena Gomez,2/10/2015,
Hands To Myself,Selena Gomez,25/12/2015,
Kill Em With Kindness,Selena Gomez,17/6/2016,
Bad Liar,Selena Gomez,2/6/2017,
Back To You,Selena Gomez,25/5/2018,
Lose You To Love Me,Selena Gomez,1/11/2019,
Look At Her Now.,Selena Gomez,8/11/2019,
Rare,Selena Gomez,24/1/2020,
Feel Me,Selena Gomez,6/3/2020,
Boyfriend,Selena Gomez,24/4/2020,
Naturally,Selena Gomez & The Scene,8/1/2010,1
Falling Down,Selena Gomez & The Scene,8/1/2010,0
Round & Round,Selena Gomez & The Scene,9/7/2010,1
A Year Without Rain,Selena Gomez & The Scene,24/9/2010,1
Who Says,Selena Gomez & The Scene,1/4/2011,
Bang Bang Bang,Selena Gomez & The Scene,24/6/2011,
Love You Like A Love Song,Selena Gomez & The Scene,8/7/2011,
Good For You,Selena Gomez Featuring A$AP Rocky,10/7/2015,
Fetish,Selena Gomez Featuring Gucci Mane,28/7/2017,
Wolves,Selena Gomez X Marshmello,10/11/2017,
It Won't Stop,Sevyn Streeter Featuring Chris Brown,18/10/2013,
Trampoline,SHAED,14/6/2019,
I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",22/5/2015,
Gypsy,Shakira,14/5/2010,0
Empire,Shakira,11/4/2014,
Dare (La La La),Shakira,6/6/2014,
Try Everything,Shakira,25/3/2016,
Me Enamore,Shakira,2/6/2017,
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,25/6/2010,0
Give It Up To Me,Shakira Featuring Lil Wayne,1/1/2010,1
Chantaje,Shakira Featuring Maluma,18/11/2016,
Perro Fiel,Shakira Featuring Nicky Jam,15/12/2017,
Can't Remember To Forget You,Shakira Featuring Rihanna,31/1/2014,
Today Is Your Day,Shania Twain,1/7/2011,
Life Of The Party,Shawn Mendes,11/7/2014,
Something Big,Shawn Mendes,21/11/2014,
A Little Too Much,Shawn Mendes,20/2/2015,
Stitches,Shawn Mendes,12/6/2015,
Treat You Better,Shawn Mendes,24/6/2016,
Mercy,Shawn Mendes,9/9/2016,
There's Nothing Holdin' Me Back,Shawn Mendes,12/5/2017,
In My Blood,Shawn Mendes,30/3/2018,
If I Can't Have You,Shawn Mendes,17/5/2019,
Wonder,Shawn Mendes,16/10/2020,
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,4/12/2015,
Senorita,Shawn Mendes & Camila Cabello,5/7/2019,
Youth,Shawn Mendes Featuring Khalid,18/5/2018,
Lost In Japan,Shawn Mendes X Zedd,6/4/2018,
Mo Bamba,Sheck Wes,7/9/2018,
Geronimo,Sheppard,19/12/2014,
Easy,Sheryl Crow,19/7/2013,
If You Only Knew,Shinedown,1/1/2010,1
The Crow & The Butterfly,Shinedown,13/8/2010,1
Bully,Shinedown,6/4/2012,
Major Tom,Shiny Toy Guns,19/2/2010,0
Impossible,Shontelle,7/5/2010,0
Chandelier,Sia,23/5/2014,
Elastic Heart,Sia,23/1/2015,
Alive,Sia,16/10/2015,
Helium,Sia,3/3/2017,
The Greatest,Sia Featuring Kendrick Lamar,23/9/2016,0
Cheap Thrills,Sia Featuring Sean Paul,4/3/2016,
Maybe,Sick Puppies,10/12/2010,
Watch Me,Silento,13/3/2015,
Electricity,Silk City x Dua Lipa,21/9/2018,
Foot Fungus,Ski Mask The Slump God,14/12/2018,
Faucet Failure,Ski Mask The Slump God,8/3/2019,
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,14/12/2018,
First Of The Year (Equinox),Skrillex,18/11/2011,
Scary Monsters And Nice Sprites,Skrillex,6/1/2012,
Where Are U Now,Skrillex & Diplo With Justin Bieber,20/3/2015,
Purple Lamborghini,Skrillex & Rick Ross,12/8/2016,
Kyoto,Skrillex Featuring Sirah,20/1/2012,
Bangarang,Skrillex Featuring Sirah,2/3/2012,
Throw That,Slaughterhouse Featuring Eminem,7/9/2012,
Deep End Freestyle,Sleepy Hallow,19/6/2020,
I Wanna Rock,Snoop Dogg,1/1/2010,0
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,28/10/2011,
Gangsta Luv,Snoop Dogg Featuring The-Dream,1/1/2010,0
Boom,Snoop Dogg Featuring T-Pain,25/3/2011,
Made Me,Snootie Wild Featuring K Camp,7/11/2014,
Called Out In The Dark,Snow Patrol,27/1/2012,
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,29/1/2010,1
Paramedic!,SOB X RBE,23/2/2018,0
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",12/1/2018,
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",25/8/2017,
We Might Be Dead By Tomorrow,Soko,28/3/2014,
Cranes In The Sky,Solange,21/10/2016,
Don't Touch My Hair,Solange Featuring Sampha,21/10/2016,
Ride,SoMo,24/1/2014,
Best Friends,Sophia Grace,23/1/2015,
Pretty Boy Swag,Soulja Boy Tell'em,2/7/2010,0
Black Rain,Soundgarden,3/9/2010,0
I'm Awesome,Spose,2/4/2010,0
Call On Me,Starley,2/12/2016,
Party Girl,StaySolidRocky,8/5/2020,
Keep On Lovin' You,Steel Magnolia,19/3/2010,1
Just Hold On,Steve Aoki & Louis Tomlinson,30/12/2016,
Waste It On Me,Steve Aoki Featuring BTS,9/11/2018,
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",5/9/2014,
Love Don't Run,Steve Holy,9/9/2011,
(It) Feels So Good,Steven Tyler,27/5/2011,
Love Is Your Name,Steven Tyler,24/7/2015,
Stuck Like Glue,Sugarland,13/8/2010,1
Little Miss,Sugarland,29/10/2010,0
Babe,Sugarland Featuring Taylor Swift,4/5/2018,
Playing Games,Summer Walker,6/9/2019,
Body,Summer Walker,18/10/2019,
Drunk Dialing...LODT,Summer Walker,18/10/2019,
Over It,Summer Walker,18/10/2019,
Potential,Summer Walker,18/10/2019,
Let It Go,Summer Walker,24/7/2020,
My Affection,Summer Walker & PARTYNEXTDOOR,24/7/2020,
Come Thru,Summer Walker & Usher,18/10/2019,
Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,18/10/2019,
I'll Kill You,Summer Walker Featuring Jhene Aiko,18/10/2019,
Girls Need Love,Summer Walker X Drake,8/3/2019,
Darlin' Don't Go,Sundance Head,30/12/2016,
At Last,Sundance Head,30/12/2016,
From A Table Away,Sunny Sweeney,21/1/2011,
ily,surf mesa Featuring Emilee,5/6/2020,
Sunday Best,Surfaces,13/3/2020,
Won't Be Late,Swae Lee Featuring Drake,30/8/2019,
Guatemala,Swae Lee Featuring Slim Jxmmi,27/4/2018,
Don't You Worry Child,Swedish House Mafia Featuring John Martin,5/10/2012,
The Weekend,SZA,18/8/2017,
Broken Clocks,SZA,16/3/2018,
Love Galore,SZA Featuring Travis Scott,30/6/2017,
Hit Different,SZA Featuring Ty Dolla $ign,18/9/2020,
The Other Side,SZA X Justin Timberlake,13/3/2020,
Power Is Power,"SZA, The Weeknd & Travis Scott",10/5/2019,
I'm Back,T.I.,2/4/2010,0
Yeah Ya Know (Takers),T.I.,18/6/2010,0
Love This Life,T.I.,20/4/2012,
Go Get It,T.I.,3/8/2012,
We Don't Get Down Like Y'all,T.I. Featuring B.o.B.,26/8/2011,
I'm Flexin',T.I. Featuring Big K.R.I.T.,21/10/2011,
Get Back Up,T.I. Featuring Chris Brown,19/11/2010,0
That's All She Wrote,T.I. Featuring Eminem,24/12/2010,
No Mediocre,T.I. Featuring Iggy Azalea,4/7/2014,
Got Your Back,T.I. Featuring Keri Hilson,18/6/2010,0
Pardon,T.I. Featuring Lil Baby,30/10/2020,
Ball,T.I. Featuring Lil Wayne,2/11/2012,
Wit Me,T.I. Featuring Lil Wayne,7/6/2013,
About The Money,T.I. Featuring Young Thug,22/8/2014,
Adicto,"Tainy, Anuel AA & Ozuna",4/10/2019,
Dynamite,Taio Cruz,18/6/2010,0
Hangover,Taio Cruz Featuring Flo Rida,21/10/2011,
Dirty Picture,Taio Cruz Featuring Ke$ha,18/6/2010,0
Break Your Heart,Taio Cruz Featuring Ludacris,12/3/2010,1
Higher,Taio Cruz Featuring Travie McCoy,31/12/2010,
Last Memory,TakeOff,9/11/2018,
Casper,TakeOff,16/11/2018,
Love And War,Tamar Braxton,21/12/2012,
All The Way Home,Tamar Braxton,20/12/2013,
When We,Tank,8/12/2017,
You Broke Me First.,Tate McRae,4/9/2020,
The Race,Tay-K,25/8/2017,
Royals,Taylor John Williams,19/12/2014,
You Belong With Me,Taylor Swift,1/1/2010,1
Fifteen,Taylor Swift,1/1/2010,0
Today Was A Fairytale,Taylor Swift,5/2/2010,1
Breathless,Taylor Swift,12/2/2010,1
Fearless,Taylor Swift,19/2/2010,1
Mine,Taylor Swift,20/8/2010,1
Speak Now,Taylor Swift,22/10/2010,1
Back To December,Taylor Swift,29/10/2010,1
Mean,Taylor Swift,5/11/2010,0
Sparks Fly,Taylor Swift,12/11/2010,1
Innocent,Taylor Swift,12/11/2010,0
The Story Of Us,Taylor Swift,12/11/2010,1
Dear John,Taylor Swift,12/11/2010,1
Better Than Revenge,Taylor Swift,12/11/2010,1
Haunted,Taylor Swift,12/11/2010,1
Last Kiss,Taylor Swift,12/11/2010,1
Enchanted,Taylor Swift,12/11/2010,1
Never Grow Up,Taylor Swift,12/11/2010,0
Long Live,Taylor Swift,12/11/2010,1
If This Was A Movie,Taylor Swift,25/11/2011,1
Ours,Taylor Swift,25/11/2011,1
Superman,Taylor Swift,25/11/2011,
Eyes Open,Taylor Swift,6/4/2012,
We Are Never Ever Getting Back Together,Taylor Swift,24/8/2012,1
Ronan,Taylor Swift,21/9/2012,
Begin Again,Taylor Swift,12/10/2012,
Red,Taylor Swift,19/10/2012,
I Knew You Were Trouble.,Taylor Swift,26/10/2012,1
State Of Grace,Taylor Swift,2/11/2012,
22,Taylor Swift,9/11/2012,
I Almost Do,Taylor Swift,9/11/2012,
All Too Well,Taylor Swift,9/11/2012,
Stay Stay Stay,Taylor Swift,9/11/2012,
The Moment I Knew,Taylor Swift,25/1/2013,
Sweeter Than Fiction,Taylor Swift,8/11/2013,
Shake It Off,Taylor Swift,5/9/2014,
Out Of The Woods,Taylor Swift,31/10/2014,1
Welcome To New York,Taylor Swift,7/11/2014,0
Blank Space,Taylor Swift,14/11/2014,1
Style,Taylor Swift,14/11/2014,1
Wildest Dreams,Taylor Swift,14/11/2014,
Wonderland,Taylor Swift,6/3/2015,
You Are In Love,Taylor Swift,13/3/2015,
New Romantics,Taylor Swift,20/3/2015,
Look What You Made Me Do,Taylor Swift,8/9/2017,
...Ready For It?,Taylor Swift,22/9/2017,
Gorgeous,Taylor Swift,10/11/2017,
Call It What You Want,Taylor Swift,24/11/2017,
